eleccion;comuna;cut_comuna;region;cut_region;candidatura;votos;votos_comuna;votos_comuna_mayoria;ganador_comuna
Primera vuelta;Aisén;11201;Aysén del General Carlos Ibáñez del Campo;11;Eduardo Artes;126;9143;2314;Jose Antonio Kast
Primera vuelta;Aisén;11201;Aysén del General Carlos Ibáñez del Campo;11;Franco Aldo Parisi;1664;9143;2314;Jose Antonio Kast
Primera vuelta;Aisén;11201;Aysén del General Carlos Ibáñez del Campo;11;Gabriel Boric;2188;9143;2314;Jose Antonio Kast
Primera vuelta;Aisén;11201;Aysén del General Carlos Ibáñez del Campo;11;Jose Antonio Kast;2314;9143;2314;Jose Antonio Kast
Primera vuelta;Aisén;11201;Aysén del General Carlos Ibáñez del Campo;11;Marco Enriquez-Ominami;551;9143;2314;Jose Antonio Kast
Primera vuelta;Aisén;11201;Aysén del General Carlos Ibáñez del Campo;11;Sebastian Sichel;716;9143;2314;Jose Antonio Kast
Primera vuelta;Aisén;11201;Aysén del General Carlos Ibáñez del Campo;11;Votos En Blanco;86;9143;2314;Jose Antonio Kast
Primera vuelta;Aisén;11201;Aysén del General Carlos Ibáñez del Campo;11;Votos Nulos;102;9143;2314;Jose Antonio Kast
Primera vuelta;Aisén;11201;Aysén del General Carlos Ibáñez del Campo;11;Yasna Provoste;1396;9143;2314;Jose Antonio Kast
Primera vuelta;Algarrobo;5602;Valparaíso;5;Eduardo Artes;90;8217;2877;Jose Antonio Kast
Primera vuelta;Algarrobo;5602;Valparaíso;5;Franco Aldo Parisi;568;8217;2877;Jose Antonio Kast
Primera vuelta;Algarrobo;5602;Valparaíso;5;Gabriel Boric;1978;8217;2877;Jose Antonio Kast
Primera vuelta;Algarrobo;5602;Valparaíso;5;Jose Antonio Kast;2877;8217;2877;Jose Antonio Kast
Primera vuelta;Algarrobo;5602;Valparaíso;5;Marco Enriquez-Ominami;472;8217;2877;Jose Antonio Kast
Primera vuelta;Algarrobo;5602;Valparaíso;5;Sebastian Sichel;1352;8217;2877;Jose Antonio Kast
Primera vuelta;Algarrobo;5602;Valparaíso;5;Votos En Blanco;20;8217;2877;Jose Antonio Kast
Primera vuelta;Algarrobo;5602;Valparaíso;5;Votos Nulos;43;8217;2877;Jose Antonio Kast
Primera vuelta;Algarrobo;5602;Valparaíso;5;Yasna Provoste;817;8217;2877;Jose Antonio Kast
Primera vuelta;Alhué;13502;Metropolitana de Santiago;13;Eduardo Artes;31;2512;636;Gabriel Boric
Primera vuelta;Alhué;13502;Metropolitana de Santiago;13;Franco Aldo Parisi;352;2512;636;Gabriel Boric
Primera vuelta;Alhué;13502;Metropolitana de Santiago;13;Gabriel Boric;636;2512;636;Gabriel Boric
Primera vuelta;Alhué;13502;Metropolitana de Santiago;13;Jose Antonio Kast;467;2512;636;Gabriel Boric
Primera vuelta;Alhué;13502;Metropolitana de Santiago;13;Marco Enriquez-Ominami;151;2512;636;Gabriel Boric
Primera vuelta;Alhué;13502;Metropolitana de Santiago;13;Sebastian Sichel;320;2512;636;Gabriel Boric
Primera vuelta;Alhué;13502;Metropolitana de Santiago;13;Votos En Blanco;16;2512;636;Gabriel Boric
Primera vuelta;Alhué;13502;Metropolitana de Santiago;13;Votos Nulos;19;2512;636;Gabriel Boric
Primera vuelta;Alhué;13502;Metropolitana de Santiago;13;Yasna Provoste;520;2512;636;Gabriel Boric
Primera vuelta;Alto Biobío;8314;Biobío;8;Eduardo Artes;40;2008;502;Jose Antonio Kast
Primera vuelta;Alto Biobío;8314;Biobío;8;Franco Aldo Parisi;255;2008;502;Jose Antonio Kast
Primera vuelta;Alto Biobío;8314;Biobío;8;Gabriel Boric;377;2008;502;Jose Antonio Kast
Primera vuelta;Alto Biobío;8314;Biobío;8;Jose Antonio Kast;502;2008;502;Jose Antonio Kast
Primera vuelta;Alto Biobío;8314;Biobío;8;Marco Enriquez-Ominami;119;2008;502;Jose Antonio Kast
Primera vuelta;Alto Biobío;8314;Biobío;8;Sebastian Sichel;155;2008;502;Jose Antonio Kast
Primera vuelta;Alto Biobío;8314;Biobío;8;Votos En Blanco;80;2008;502;Jose Antonio Kast
Primera vuelta;Alto Biobío;8314;Biobío;8;Votos Nulos;81;2008;502;Jose Antonio Kast
Primera vuelta;Alto Biobío;8314;Biobío;8;Yasna Provoste;399;2008;502;Jose Antonio Kast
Primera vuelta;Alto Hospicio;1107;Tarapacá;1;Eduardo Artes;263;24569;9884;Franco Aldo Parisi
Primera vuelta;Alto Hospicio;1107;Tarapacá;1;Franco Aldo Parisi;9884;24569;9884;Franco Aldo Parisi
Primera vuelta;Alto Hospicio;1107;Tarapacá;1;Gabriel Boric;3183;24569;9884;Franco Aldo Parisi
Primera vuelta;Alto Hospicio;1107;Tarapacá;1;Jose Antonio Kast;5860;24569;9884;Franco Aldo Parisi
Primera vuelta;Alto Hospicio;1107;Tarapacá;1;Marco Enriquez-Ominami;1712;24569;9884;Franco Aldo Parisi
Primera vuelta;Alto Hospicio;1107;Tarapacá;1;Sebastian Sichel;1212;24569;9884;Franco Aldo Parisi
Primera vuelta;Alto Hospicio;1107;Tarapacá;1;Votos En Blanco;70;24569;9884;Franco Aldo Parisi
Primera vuelta;Alto Hospicio;1107;Tarapacá;1;Votos Nulos;173;24569;9884;Franco Aldo Parisi
Primera vuelta;Alto Hospicio;1107;Tarapacá;1;Yasna Provoste;2212;24569;9884;Franco Aldo Parisi
Primera vuelta;Alto del Carmen;3302;Atacama;3;Eduardo Artes;11;1964;891;Yasna Provoste
Primera vuelta;Alto del Carmen;3302;Atacama;3;Franco Aldo Parisi;365;1964;891;Yasna Provoste
Primera vuelta;Alto del Carmen;3302;Atacama;3;Gabriel Boric;260;1964;891;Yasna Provoste
Primera vuelta;Alto del Carmen;3302;Atacama;3;Jose Antonio Kast;265;1964;891;Yasna Provoste
Primera vuelta;Alto del Carmen;3302;Atacama;3;Marco Enriquez-Ominami;56;1964;891;Yasna Provoste
Primera vuelta;Alto del Carmen;3302;Atacama;3;Sebastian Sichel;87;1964;891;Yasna Provoste
Primera vuelta;Alto del Carmen;3302;Atacama;3;Votos En Blanco;14;1964;891;Yasna Provoste
Primera vuelta;Alto del Carmen;3302;Atacama;3;Votos Nulos;15;1964;891;Yasna Provoste
Primera vuelta;Alto del Carmen;3302;Atacama;3;Yasna Provoste;891;1964;891;Yasna Provoste
Primera vuelta;Ancud;10202;Los Lagos;10;Eduardo Artes;230;15884;4372;Jose Antonio Kast
Primera vuelta;Ancud;10202;Los Lagos;10;Franco Aldo Parisi;2120;15884;4372;Jose Antonio Kast
Primera vuelta;Ancud;10202;Los Lagos;10;Gabriel Boric;3793;15884;4372;Jose Antonio Kast
Primera vuelta;Ancud;10202;Los Lagos;10;Jose Antonio Kast;4372;15884;4372;Jose Antonio Kast
Primera vuelta;Ancud;10202;Los Lagos;10;Marco Enriquez-Ominami;938;15884;4372;Jose Antonio Kast
Primera vuelta;Ancud;10202;Los Lagos;10;Sebastian Sichel;1827;15884;4372;Jose Antonio Kast
Primera vuelta;Ancud;10202;Los Lagos;10;Votos En Blanco;131;15884;4372;Jose Antonio Kast
Primera vuelta;Ancud;10202;Los Lagos;10;Votos Nulos;123;15884;4372;Jose Antonio Kast
Primera vuelta;Ancud;10202;Los Lagos;10;Yasna Provoste;2350;15884;4372;Jose Antonio Kast
Primera vuelta;Andacollo;4103;Coquimbo;4;Eduardo Artes;64;4700;1181;Gabriel Boric
Primera vuelta;Andacollo;4103;Coquimbo;4;Franco Aldo Parisi;1172;4700;1181;Gabriel Boric
Primera vuelta;Andacollo;4103;Coquimbo;4;Gabriel Boric;1181;4700;1181;Gabriel Boric
Primera vuelta;Andacollo;4103;Coquimbo;4;Jose Antonio Kast;661;4700;1181;Gabriel Boric
Primera vuelta;Andacollo;4103;Coquimbo;4;Marco Enriquez-Ominami;408;4700;1181;Gabriel Boric
Primera vuelta;Andacollo;4103;Coquimbo;4;Sebastian Sichel;307;4700;1181;Gabriel Boric
