eleccion;region;cut_region;candidatura;votos;votos_region;votos_region_mayoria;ganador_region
Primera vuelta;Antofagasta;2;Eduardo Artes;2551;203838;68473;Franco Aldo Parisi
Primera vuelta;Antofagasta;2;Franco Aldo Parisi;68473;203838;68473;Franco Aldo Parisi
Primera vuelta;Antofagasta;2;Gabriel Boric;41487;203838;68473;Franco Aldo Parisi
Primera vuelta;Antofagasta;2;Jose Antonio Kast;42299;203838;68473;Franco Aldo Parisi
Primera vuelta;Antofagasta;2;Marco Enriquez-Ominami;14395;203838;68473;Franco Aldo Parisi
Primera vuelta;Antofagasta;2;Sebastian Sichel;14729;203838;68473;Franco Aldo Parisi
Primera vuelta;Antofagasta;2;Votos En Blanco;678;203838;68473;Franco Aldo Parisi
Primera vuelta;Antofagasta;2;Votos Nulos;1684;203838;68473;Franco Aldo Parisi
Primera vuelta;Antofagasta;2;Yasna Provoste;17542;203838;68473;Franco Aldo Parisi
Primera vuelta;Arica y Parinacota;15;Eduardo Artes;983;85884;25120;Jose Antonio Kast
Primera vuelta;Arica y Parinacota;15;Franco Aldo Parisi;24296;85884;25120;Jose Antonio Kast
Primera vuelta;Arica y Parinacota;15;Gabriel Boric;15077;85884;25120;Jose Antonio Kast
Primera vuelta;Arica y Parinacota;15;Jose Antonio Kast;25120;85884;25120;Jose Antonio Kast
Primera vuelta;Arica y Parinacota;15;Marco Enriquez-Ominami;4703;85884;25120;Jose Antonio Kast
Primera vuelta;Arica y Parinacota;15;Sebastian Sichel;6194;85884;25120;Jose Antonio Kast
Primera vuelta;Arica y Parinacota;15;Votos En Blanco;332;85884;25120;Jose Antonio Kast
Primera vuelta;Arica y Parinacota;15;Votos Nulos;756;85884;25120;Jose Antonio Kast
Primera vuelta;Arica y Parinacota;15;Yasna Provoste;8423;85884;25120;Jose Antonio Kast
Primera vuelta;Atacama;3;Eduardo Artes;1309;107185;27501;Yasna Provoste
Primera vuelta;Atacama;3;Franco Aldo Parisi;25443;107185;27501;Yasna Provoste
Primera vuelta;Atacama;3;Gabriel Boric;20418;107185;27501;Yasna Provoste
Primera vuelta;Atacama;3;Jose Antonio Kast;19017;107185;27501;Yasna Provoste
Primera vuelta;Atacama;3;Marco Enriquez-Ominami;5295;107185;27501;Yasna Provoste
Primera vuelta;Atacama;3;Sebastian Sichel;7097;107185;27501;Yasna Provoste
Primera vuelta;Atacama;3;Votos En Blanco;367;107185;27501;Yasna Provoste
Primera vuelta;Atacama;3;Votos Nulos;738;107185;27501;Yasna Provoste
Primera vuelta;Atacama;3;Yasna Provoste;27501;107185;27501;Yasna Provoste
Primera vuelta;Aysén del General Carlos Ibáñez del Campo;11;Eduardo Artes;508;40677;11761;Jose Antonio Kast
Primera vuelta;Aysén del General Carlos Ibáñez del Campo;11;Franco Aldo Parisi;5153;40677;11761;Jose Antonio Kast
Primera vuelta;Aysén del General Carlos Ibáñez del Campo;11;Gabriel Boric;9975;40677;11761;Jose Antonio Kast
Primera vuelta;Aysén del General Carlos Ibáñez del Campo;11;Jose Antonio Kast;11761;40677;11761;Jose Antonio Kast
Primera vuelta;Aysén del General Carlos Ibáñez del Campo;11;Marco Enriquez-Ominami;2017;40677;11761;Jose Antonio Kast
